1309,13,"Филиал в Республике Марий Эл ОАО «Ростелеком»","MAR"
2013,2,"Филиал в Республике Мордовия ЗАО «НСС»","NSSMRD"
1310,13,"Филиал в Республике Мордовия ОАО «Ростелеком»","MRD"
2016,2,"Филиал  в Республике Татарстан ЗАО «НСС»","NSSTTR"
2021,2,"Филиал в Чувашской Республике ЗАО «НСС»","NSSCHV"
1312,13,"Филиал в Чувашской Республике ОАО «Ростелеком»","CHV"
1313,13,"Филиал ОАО «Ростелеком» в Республике Татарстан","TTR"
1311,13,"Филиал ОАО «Ростелеком» в Удмуртской Республике","UDM"
1708,17,"Филиал Сахателеком ОАО «Ростелеком»","SHL"
1706,17,"Хабаровский филиал ОАО «Ростелеком»","HBR"
1604,16,"Хакасский филиал ОАО «Ростелеком»","HAK"
1507,15,"Ханты-Мансийский филиал ОАО «Ростелеком»","XMS"
1002,1,"Центральная бухгалтерия","CBU"
1505,15,"Челябинский филиал ОАО «Ростелеком»","CHL"
1508,15,"Ямало-Ненецкий филиал ОАО «Ростелеком»","YAN"
1116,11,"Ярославский филиал ОАО «Ростелеком»","YRL"
